genome_fasta,cluster,super_cluster,rep_cluster,rep_genome,dataset,bai_gene_cluster
CosteaPI_2017__peacemaker3-11-0-0__bin.30.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
CosteaPI_2017__peacemaker4-11-0-0__bin.10.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
CosteaPI_2017__pluto1-11-30-0__bin.27.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
CosteaPI_2017__pluto2-11-7-0__bin.14.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
CosteaPI_2017__pluto4-11-0-0__bin.13.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
CosteaPI_2017__pluto4-11-7-0__bin.50.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
CosteaPI_2017__SID713A014-11-0-0__bin.55.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
CosteaPI_2017__SID713A014-11-90-0__bin.81.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
CosteaPI_2017__SID713A033-11-90-0__bin.32.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
CosteaPI_2017__SID713A045-11-90-0__bin.54.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
CosteaPI_2017__SID713A052-11-90-0__bin.13.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
CosteaPI_2017__SID713A056-11-0-0__bin.72.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
CosteaPI_2017__SID713A058-11-0-0__bin.20.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
CosteaPI_2017__SID713A058-11-90-0__bin.71.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
CosteaPI_2017__SID713A066-11-0-0__bin.26.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
CosteaPI_2017__SID713A068-11-90-0__bin.8.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
CosteaPI_2017__SID713A073-11-0-0__bin.2.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
CosteaPI_2017__SID713A074-11-90-0__bin.22.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
CosteaPI_2017__SID713A078-11-0-0__bin.36.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
CosteaPI_2017__SID713A081-11-90-0__bin.58.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
CosteaPI_2017__SID713B012-11-0-0__bin.32.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
CosteaPI_2017__SID713B012-11-90-0__bin.21.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
CosteaPI_2017__SID713B016-11-0-0__bin.47.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
CosteaPI_2017__SID713B016-11-90-0__bin.66.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
CosteaPI_2017__SID713B025-11-90-0__bin.14.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
CosteaPI_2017__SID713B026-11-0-0__bin.31.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
CosteaPI_2017__SID713B026-11-90-0__bin.59.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
CosteaPI_2017__SID713B032-11-0-0__bin.84.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
CosteaPI_2017__SID713B032-11-90-0__bin.12.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
CosteaPI_2017__SID713B033-11-0-0__bin.29.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
CosteaPI_2017__SID713B035-11-0-0__bin.40.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
CosteaPI_2017__SID713B035-11-90-0__bin.66.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
CosteaPI_2017__SID713B042-11-90-0__bin.9.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
CosteaPI_2017__SID713B057-11-0-0__bin.59.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
CosteaPI_2017__SID713B063-11-0-0__bin.3.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
CosteaPI_2017__SID713B064-11-0-0__bin.29.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
CosteaPI_2017__SID713B074-11-0-0__bin.39.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
CosteaPI_2017__SID713B074-11-90-0__bin.62.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
CosteaPI_2017__SID713B076-11-0-0__bin.2.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
CosteaPI_2017__SID713B076-11-90-0__bin.14.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
CosteaPI_2017__thistle2-11-0-0__bin.62.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
CosteaPI_2017__thistle3-11-0-0__bin.15.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
CosteaPI_2017__thistle4-11-0-0__bin.46.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
FengQ_2015__SID31236__bin.52.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
FengQ_2015__SID31276__bin.45.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
FengQ_2015__SID31285__bin.16.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
FengQ_2015__SID31360__bin.22.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
FengQ_2015__SID31431__bin.60.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
FengQ_2015__SID31455__bin.1.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
FengQ_2015__SID31750__bin.60.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
FengQ_2015__SID31872__bin.49.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
FengQ_2015__SID31875__bin.52.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
FengQ_2015__SID31876__bin.71.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
FengQ_2015__SID31879__bin.11.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
FengQ_2015__SID31880__bin.54.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
FengQ_2015__SID31881__bin.24.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
FengQ_2015__SID31883__bin.55.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
FengQ_2015__SID31884__bin.58.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
FengQ_2015__SID530055__bin.3.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
FengQ_2015__SID530119__bin.50.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
FengQ_2015__SID530373__bin.30.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
FengQ_2015__SID530394__bin.39.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
FengQ_2015__SID530451__bin.70.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
FengQ_2015__SID530600__bin.39.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
FengQ_2015__SID530697__bin.30.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
FengQ_2015__SID530867__bin.67.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
FengQ_2015__SID532832__bin.15.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
GeversD_2014__SKBSTL013__bin.9.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
GeversD_2014__SKBSTL018__bin.65.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
GeversD_2014__SKBSTL034__bin.36.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
HanniganGD_2017__MG100166__bin.1.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
HeQ_2017__SZAXPI029461-129__bin.2.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
HeQ_2017__SZAXPI029500-102__bin.53.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
HeQ_2017__SZAXPI029552-169__bin.14.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
HeQ_2017__SZAXPI029554-33__bin.32.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
HeQ_2017__SZAXPI029560-51__bin.90.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
HeQ_2017__SZAXPI029566-78__bin.62.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
HeQ_2017__SZAXPI029567-80__bin.53.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
HeQ_2017__SZAXPI029568-81__bin.49.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
HeQ_2017__SZAXPI029571-86__bin.21.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
HeQ_2017__SZAXPI029572-87__bin.12.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
HeQ_2017__SZAXPI029573-88__bin.83.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
HeQ_2017__SZAXPI029581-99__bin.59.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
HeQ_2017__SZAXPI029582-100__bin.8.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
HeQ_2017__SZAXPI029584-102__bin.21.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
HeQ_2017__SZAXPI029585-104__bin.51.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
HeQ_2017__SZAXPI029591-123__bin.48.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
HeQ_2017__SZAXPI029593-133__bin.66.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
HeQ_2017__SZAXPI029594-136__bin.27.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
HeQ_2017__SZAXPI029600-27__bin.62.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
HMP_2012__SRS012273__bin.45.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
HMP_2012__SRS014613__bin.35.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
HMP_2012__SRS014979__bin.56.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
HMP_2012__SRS015133__bin.59.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
HMP_2012__SRS064276__bin.9.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
KarlssonFH_2013__S118__bin.39.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
KarlssonFH_2013__S187__bin.25.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
KarlssonFH_2013__S268__bin.35.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
KarlssonFH_2013__S422__bin.19.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
KarlssonFH_2013__S451__bin.2.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
KarlssonFH_2013__S497__bin.25.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
KarlssonFH_2013__S529__bin.40.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
KarlssonFH_2013__S543__bin.41.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
KarlssonFH_2013__S58__bin.1.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
KarlssonFH_2013__S587__bin.29.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
KarlssonFH_2013__S591__bin.19.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
KarlssonFH_2013__S598__bin.5.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
KarlssonFH_2013__S60__bin.21.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
LeChatelierE_2013__MH0003__bin.1.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
LeChatelierE_2013__MH0007__bin.11.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
LeChatelierE_2013__MH0083__bin.5.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
LeChatelierE_2013__MH0161__bin.35.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
LeChatelierE_2013__MH0191__bin.8.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
LeChatelierE_2013__MH0199__bin.22.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
LeChatelierE_2013__MH0204__bin.30.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
LeChatelierE_2013__MH0230__bin.51.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
LeChatelierE_2013__MH0403__bin.22.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
LeChatelierE_2013__MH0425__bin.46.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
LeChatelierE_2013__MH0431__bin.46.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
LeChatelierE_2013__MH0443__bin.24.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
LeChatelierE_2013__MH0445__bin.89.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
LeChatelierE_2013__MH0446__bin.37.fa,Pasolli_15265,7,Pasolli_15265,LiuW_2016__SRR3992994__bin.12.fa,Pasolli,7
